show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,
s6055-netflix,Movie,A Russell Peters Christmas,Henry Sarwer-Foner,"Russell Peters, Pamela Anderson, Michael Bublé, Jon Lovitz, Scott Thompson, Faizon Love, Goapele, Ted Lange",Canada,1-Nov-13,2011,NR,44 min,Stand-Up Comedy,"Inspired by the variety shows of the 1970s, ""A Russell Peters Christmas"" is a sweet, silly, sentimental and, most of all, funny Christmas special.",
s6056-netflix,Movie,A Scandall,Ishaan Trivedi,"Johnny Baweja, Reeth Mazumder, Manav Kaul, Tanvi Vyas, Puru Chibber, Vasundhara Kaul, Aayam Mehta, Niraj Sah",India,15-Oct-17,2016,TV-MA,108 min,"International Movies, Thrillers","A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter.",
s4069-netflix,Movie,A Second Chance,Cathy Garcia-Molina,"John Lloyd Cruz, Bea Alonzo, Dimples Romana, Janus del Prado, James Blanco, Ahron Villena, Beatriz Saw, Shamaine Centenera, Khalil Ramos, Billy Crawford, Al Tantay, Arci Muñoz",Philippines,27-Feb-19,2015,TV-MA,130 min,"Dramas, International Movies, Romantic Movies","Following their storybook wedding, Popoy and Basha find married life – and starting a business together – more challenging than they ever imagined.",
s3393-amazon,Movie,A Second Chance,Grayson Stroud,"Chico Benymon, Jennifer Freeman, Malinda Williams, Jontille Gerard, Redaric Williams",,,2019,13+,94 min,Comedy,"When best friends Daniella and Cheyann both start to have feelings for Cheyann's best guy friend Darius something unexpected happens. Faced with the possibility of losing Darius makes Cheyann realizes that she really loves him causing the friends to be caught in a triangle of confusion, deceit and decisions. But they come to realize that everyone deserves a second chance.",
s394-netflix,Movie,A Second Chance:  Rivals!,Clay Glen,"Emily Morris, Stella Shute, Eva Grados, India Colombi, Nina Pearce, Adam Tuominen, Carmel Johnson, Natasha Wanganeen, Elysia Markou, Alexander Lloyd, Amy Handley",Australia,23-Jul-21,2021,PG,91 min,"Children & Family Movies, Sports Movies","Crushed when she doesn't qualify for the Olympics, a now-grown Maddy Cornell finds new purpose coaching young gymnasts going up against a rival team.",
s2605-netflix,Movie,A Secret Love,Chris Bolan,,United States,29-Apr-20,2020,TV-14,83 min,"Documentaries, LGBTQ Movies","Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",
s6057-netflix,Movie,A Separation,Asghar Farhadi,"Leila Hatami, Peyman Moaadi, Shahab Hosseini, Sareh Bayat, Sarina Farhadi, Babak Karimi, Ali-Asghar Shahbazi, Shirin Yazdanbakhsh, Kimia Hosseini, Merila Zare'i, Sahabanu Zolghadr","Iran, France",16-Mar-19,2011,PG-13,123 min,"Dramas, International Movies","Amid an impasse in his marriage, a father in Tehran is beset by a bitter feud involving the family of a pious caretaker he hired for his aging dad.",
s3392-amazon,TV Show,A Series of Light,,"Jack Parr, Jake Watkins, Ole Madden, Nathaniel Farah, Charlie Harris, Bruce Herbelin-Earle, Alexandra Marlin, Dan Sheppard, Rochelle Naylor, James Coutsavlis, Samuel Curry, Callum Hart, Julia Goodinson, Nadhia Porcelli",,,2020,18+,1 Season,"Drama, LGBTQ, Suspense","From the award-winning filmmakers behind the hit LGBTQ* films ""This World We Live In"" and ""Wretched Things"" comes a new anthology series weaving tales of intimacy, deceit, heartbreak and disconnection within such a heavily connected world.",
s4219-netflix,TV Show,A Series of Unfortunate Events,,"Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes, K. Todd Freeman, Joan Cusack, Aasif Mandvi",United States,1-Jan-19,2019,TV-PG,3 Seasons,"Kids' TV, TV Action & Adventure, TV Comedies","The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",
s6058-netflix,Movie,A Serious Man,"Ethan Coen, Joel Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick, Adam Arkin, Amy Landecker, Alan Mandell, Fyvush Finkel, Peter Breitmayer, Aaron Wolff, Jessica McManus, Brent Braunschweig","United States, United Kingdom, France",16-Jan-18,2009,R,106 min,"Comedies, Independent Movies","With every aspect of his life unraveling, a Jewish physics professor seeks out three rabbis for spiritual guidance.",
s2912-netflix,Movie,A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher","Justin Fletcher, John Sparkes, Amalia Vitale, Kate Harbour, David Holt","United Kingdom, France, Belgium, Ireland, United States",14-Feb-20,2019,G,87 min,"Children & Family Movies, Comedies",Shaun and the flock race to help an adorable alien find her way home after her ship crash-lands near Mossy Bottom Farm and sparks a UFO frenzy.,
s4524-amazon,Movie,A Shot In The Dark,,"Joaquim de Almeida, Vanessa Mesquita, Filipe Duarte",,,2013,18+,1 min,Action,"A baby is kidnapped in a Brazilian airport. Years later, the mother lives in Lisbon and works in a strip-tease bar so she can survive. When she is fired, she joins a gang of bank robbers...",
s8563-amazon,Movie,A Sierra Nevada Gunfight,Vernon E. Mortensen,"Kirk Harris, Ryan Balance, Michael Madsen",,,2013,R,92 min,Western,Gold miner Roger Hazard brings his twelve year old son Casper to the treacherous gold fields of 1870s California. They work a small mine in the southern fields but when Roger begins to lose touch with reality young Casper ends up on his own. Casper faces danger around every corner but must find the strength to save his father from himself.,
s3774-netflix,Movie,A Silent Voice,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono, Yuki Kaneko, Yui Ishikawa, Megumi Han, Toshiyuki Toyonaga, Mayu Matsuoka",Japan,5-Jun-19,2016,TV-14,130 min,"Anime Features, International Movies",A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right.,
