show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,
s2128-netflix,TV Show,3%,,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",Brazil,14-Aug-20,2020,TV-MA,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",
s5657-netflix,Movie,7:19,Jorge Michel Grau,"Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",Mexico,23-Dec-16,2016,TV-MA,93 min,"Dramas, International Movies","After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",
s4278-netflix,Movie,23:59,Gilbert Chan,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",Singapore,20-Dec-18,2011,R,78 min,"Horror Movies, International Movies","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",
s5959-netflix,Movie,9,Shane Acker,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",United States,16-Nov-17,2009,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",
s7055-amazon,Movie,21,Robert Luketic,"Jim Sturgess, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Josh Gad, Sam Golzari, Laurence Fishburne, Kevin Spacey",,1-Jan-20,2008,PG-13,123 min,"Drama, Suspense","Academy Award Winner Kevin Spacey (The Usual Suspects) and young Hollywood super star Kate Boswoth (Superman Returns) star in this clever & adreniline filled heist film. An MIT math whiz is recruited by a teacher to join a specialized team of card counters. They break away from their mentor before casino security finally catches up with them. Based on book ""Bringing Down the House."" It co-stars..",
s3461-amazon,Movie,41,Glenn Triggs,"Chris Gibson, David Macrae",,,2014,16+,81 min,"Drama, Science Fiction",A young man discovers a hole in the floor of a local motel that leads to yesterday.,
s5389-netflix,TV Show,46,Serdar Akar,"Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu",Turkey,1-Jul-17,2016,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",
s2444-netflix,Movie,122,Yasir Al Yasiri,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Egypt,1-Jun-20,2019,TV-MA,95 min,"Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",
s5961-netflix,Movie,187,Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",United States,1-Nov-19,1997,R,119 min,Dramas,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",
s6469-amazon,TV Show,227,,"Marla Gibbs, Hal Williams, Alaina Reed, Jackée Harry",,,1990,TV-PG,5 Seasons,Comedy,"In a world gone ""condo,"" apartment building 227 is much more than just a street address – it's a haven from the fast-paced life of Washington D.C. for its many tenants. Through the good times and the bad, through rent hikes and garbage strikes, the tenants of 227 are a close-knit, tough, not always harmonious family, and Mary Jenkins is the ""thread"" that keeps them together.",
s859-netflix,Movie,678,Mohamed Diab,"Maged El-Kidwani, Bassem Samra, Ahmed El Fishawy, Nelly Kariem, Boshra, Nahed El Sebaï, Marwa Mehran, Sawsan Badr, Omar El Saeed, Moataz Al-Demerdash",,20-May-21,2009,TV-14,99 min,"Dramas, Independent Movies, International Movies","This film sheds light on sexual harassment in Egypt, following the lives of three women from different social classes who have been subjected to it.",
s5962-netflix,Movie,706,Shravan Kumar,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak",India,1-Apr-19,2019,TV-14,118 min,"Horror Movies, International Movies","When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",
s3451-amazon,Movie,730,TRU,"Jamal Woolard, TRU",,,2015,18+,104 min,"Action, Drama, Suspense","A modern day urban tale centered around a young man named Tru, who recently came home from jail and is fighting to stay on the right path for the sake of his son. Not too long after his release, Tru finds himself struggling to be an average man while he battles with his son's mother, the law, and the streets.",
s5963-netflix,Movie,1920,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",India,15-Dec-17,2008,TV-MA,143 min,"Horror Movies, International Movies, Thrillers",An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,
s5208-netflix,Movie,1922,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",United States,20-Oct-17,2017,TV-MA,103 min,"Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",
s4351-netflix,TV Show,1983,,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Poland, United States",30-Nov-18,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",
s9273-amazon,Movie,1984,Michael Radford,"John Hurt, Richard Burton, Suzanna Hamilton",,,1985,R,111 min,Drama,"The classic George Orwell story set in a world where absolute conformity in action, word and thought including loyalty to Big Brother is demanded.",
s3809-netflix,TV Show,1994,Diego Enrique Osorno,,Mexico,17-May-19,2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",
s1114-netflix,Movie,2012,Roland Emmerich,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily",United States,1-Apr-21,2009,PG-13,158 min,"Action & Adventure, Sci-Fi & Fantasy","When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos.",
s4052-netflix,Movie,2215,Nottapon Boonprakob,Artiwara Kongmalai,Thailand,1-Mar-19,2018,TV-MA,89 min,"Documentaries, International Movies, Sports Movies","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",
s2799-netflix,Movie,3022,John Suits,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",United States,19-Mar-20,2019,R,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",
s4474-amazon,Movie,7500,Patrick Vollrath,"Joseph Gordon-Levitt, Omid Memar, Carlo Kitzlinger, Aylin Tezel, Murathan Muslu, Paul Wollin, Aurélie Thépaut, Passar Hariky, Denis Schmidt, Max Schimmelpfennig, Anna Suk","Germany, Austria, United States",,2020,R,93 min,"Drama, Suspense","When terrorists try to seize control of a Berlin-Paris flight, a soft-spoken young American co-pilot struggles to save the lives of the passengers and crew while forging a surprising connection with one of the hijackers.",
s3997-netflix,TV Show,9-Feb,,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi",,20-Mar-19,2018,TV-14,1 Season,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",
s4523-netflix,Movie,22-Jul,Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Norway, Iceland, United States",10-Oct-18,2018,R,144 min,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",
s3963-netflix,Movie,15-Aug,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,29-Mar-19,2019,TV-14,124 min,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",
s6702-amazon,Movie,27-Sep,Meenakshi Vinay Rai,Meenakshi Vinay Rai,,,2021,13+,80 min,Drama,"The film is about life, love, and nirvana. Siddharth is visiting for the first time the holy city of Banaras. One day at the ghat he sees and instantly gets hooked with the aura of Malvika. Is destiny playing a game with him? Is it mere attraction?",
s5964-netflix,Movie,1-Oct,Kunle Afolayan,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",Nigeria,1-Sep-19,2014,TV-14,149 min,"Dramas, International Movies, Thrillers","Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",
s7430-amazon,Movie,54321,Ragavendra Prasad,"Shabeer Kallarakkal, Aarvin, Pavithra, Rohini, Ravi Raghavendra",,,2016,13+,112 min,"Drama, Suspense","Vinoth receives a lot of love and attention from his adoptive parents and this makes their biological son, Vikram, feel resentful. Years later, Vikram gets a chance to avenge his unhappy childhood.",
s3573-amazon,TV Show,_DUPE_The Making of the Mob: Chicago,,"Ray Liotta, Jeremy Davidson, William Forsythe, Vincent Pastore, Paul Sorvino",,,2016,TV-14,1 Season,"Documentary, Special Interest","Chronicling iconic gangster Al Capone and the emergence of The Chicago Outfit, this historical mafia docu-drama is about the rise and fall of America's most notorious mobster.",
s307-netflix,Movie,'76,Izu Ojukwu,"Ramsey Nouah, Rita Dominic, Chidi Mokeme, Ibinabo Fiberesima, Daniel K. Daniel, Memry Savanhu, Adonijah Owiriwa, Pat Nebo, Nelly Ekwereogu, Shuaibu Ebenesi Adams, Debo Oguns, Ben Nwosu, Ada Ofoegbu",Nigeria,4-Aug-21,2016,TV-PG,118 min,"Dramas, International Movies","When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events.",
s5968-netflix,Movie,'89,,"Lee Dixon, Ian Wright, Paul Merson",United Kingdom,16-May-18,2017,TV-PG,87 min,Sports Movies,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",
s4668-netflix,Movie,​​Kuch Bheege Alfaaz,Onir,"Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan",India,1-Sep-18,2018,TV-14,110 min,"Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.",
s5969-netflix,Movie,​Goli Soda 2,Vijay Milton,"Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha",India,15-Sep-18,2018,TV-14,128 min,"Action & Adventure, Dramas, International Movies","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.",
s5970-netflix,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",India,15-Sep-18,2017,TV-14,117 min,"Dramas, International Movies","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.",
s5971-netflix,Movie,​Mayurakshi,Atanu Ghosh,"Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury",India,15-Sep-18,2017,TV-14,100 min,"Dramas, International Movies","When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.",
s2999-netflix,TV Show,​SAINT SEIYA: Knights of the Zodiac,,"Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi",Japan,23-Jan-20,2020,TV-14,2 Seasons,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.",
s3572-amazon,TV Show,'Allo 'Allo!,,"Gorden Kaye, Guy Siner, Jeremy Lloyd, Kirsten Cooke",,,1992,13+,9 Seasons,Comedy,"Wartime sitcom about the French Resistance starring Gorden Kaye and Carmen Silvera, with the farcical events set around a cafe run by René Artois.",
s5548-amazon,Movie,"""Mixed Up""",Nishi Chawla,"UDAY KRISHNA, BETHANY RISHELL, LUCY BOND, SANJAY KUMAR",,,2020,16+,106 min,"Drama, Romance","""Mixed Up"" examines casual factors that make up romantic interracial relationships. The screenplay reveals the deep seated hostility of a white American Professor's wife to their two daughters' boyfriends, one a Hindu Indian medical doctor and the other, a Muslim. The story exposes the consequences of the daughters' choices and decisions and the changed landscape of modern romantic entanglements.",
s5978-amazon,TV Show,"""The Paramedic Angel""",,"Nate Reidnauer, Nikki Hrichak, Nina Randazzo, Rachel Mackall, Charmar Jeter, Marisa Marra, Riley Carbone, Jessica Cherniak",,,2021,ALL,1 Season,Drama,"The tragedy of a loving family man and paramedic hero will leave their world shattered. After unexplained angelic encounters are experienced by those in need, despair turns to hope and the belief in the supernatural becomes real.",
s8170-amazon,Movie,(500) Days Of Summer,Marc Webb,"Joseph Gordon-Levitt, Zooey Deschanel ,  Geoffrey Arend",,,2009,PG-13,95 min,Comedy,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",
s5972-netflix,Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",,United States,30-Jun-16,2015,NR,84 min,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,
s2141-netflix,TV Show,(Un)Well,,,United States,12-Aug-20,2020,TV-MA,1 Season,Reality TV,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",
s2037-netflix,Movie,#Alive,Cho Il,"Yoo Ah-in, Park Shin-hye",South Korea,8-Sep-20,2020,TV-MA,99 min,"Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",
s2305-netflix,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",Italy,1-Jul-20,2019,TV-14,95 min,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",
s2667-netflix,TV Show,#blackAF,,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers",United States,17-Apr-20,2020,TV-MA,1 Season,TV Comedies,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",
s5973-netflix,Movie,#cats_the_mewvie,Michael Margolis,,Canada,5-Feb-20,2020,TV-14,90 min,"Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",
s2482-netflix,Movie,#FriendButMarried,Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,21-May-20,2018,TV-G,102 min,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",
s2325-netflix,Movie,#FriendButMarried 2,Rako Prijanto,"Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,28-Jun-20,2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",
s7557-amazon,Movie,#Home,Rojin Thomas,"Indrans, Sreenath Bhasi, Vijay Babu, Manju Pillai, Neslin, Kainakary Thankaraj, KPAC Lalitha, Srikanth Murali, Johny Antony, Pauly Wilson, Maniyan Pillai Raju, Anoop Menon, Aju Varghese, Kiran Aravindhakshan, Chithra, Priyanka Nair",,,2021,13+,161 min,Drama,"Home is about the humble, technology-challenged Oliver twist struggles to keep his closeness with his sons and communicate as they grow up and become active on social media.",
s7556-amazon,Movie,#Home (4K UHD),Rojin Thomas,"Indrans, Sreenath Bhasi, Vijay Babu, Manju Pillai, Neslin, Kainakary Thankaraj, KPAC Lalitha, Srikanth Murali, Johny Antony, Pauly Wilson, Maniyan Pillai Raju, Anoop Menon, Aju Varghese, Kiran Aravindhakshan, Chithra, Priyanka Nair",,,2021,13+,161 min,Drama,"Home is about the humble, technology-challenged Oliver twist struggles to keep his closeness with his sons and communicate as they grow up and become active on social media.",
s5607-amazon,TV Show,#IGotThis,,,,,2020,TV-PG,1 Season,Drama,Meet remarkable people who have discovered ways to cope with a physical disability or mental health challenges and move forward with their lives.,
s3571-amazon,TV Show,#IMomSoHard Live,,"Kristin Hensley, Jen Smedley",,,2019,16+,1 Season,"Arts, Entertainment, and Culture","Comedians Kristin Hensley and Jen Smedley of the viral webseries #IMOMSOHARD bring you their 2-person stand-up show! Combining stand-up & improvisation, the two share their honest and self-effacing humor on topics ranging from friendship, periods, sex after marriage, body image, and parenting failures. Because, hey: You're not in this alone, ladies.",
s3570-amazon,TV Show,#Lagira de #eldisco,,,,,2019,TV-G,1 Season,Music Videos and Concerts,Alejandro Sanz presents us on this occasion the audiovisual version of #ELCONCIERTO + #ELDOCUMENTAL. This exclusive content is a complete reflect of the success that the artist has achieved.,
s4353-amazon,Movie,#Lucky Number,Brendan Gabriel Murphy,"Tom Pelphrey, Natalie Hall, Cliff ""Method Man"" Smith, Malcolm Goodwin, Joey Russo",,,2015,,80 min,Comedy,A young man's life is on a losing streak until he gets the old cell number of a major basketball star nicknamed The Saint and starts using it to get VIP access to A List parties. He's living the good life. Until his idol finds out.,
s5278-netflix,Movie,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,8-Sep-17,2017,TV-14,99 min,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",
s5974-netflix,Movie,#Roxy,Michael Kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",Canada,10-Apr-19,2018,TV-14,105 min,"Comedies, Romantic Movies",A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,
s5696-netflix,Movie,#Rucker50,Robert McCullough Jr.,,United States,1-Dec-16,2016,TV-PG,56 min,"Documentaries, Sports Movies",This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,
s655-netflix,Movie,#Selfie,Cristina Jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Sali Levent, Vlad Logigan, Alex Călin, Alina Chivulescu, Răzvan Vasilescu",Romania,21-Jun-21,2014,TV-MA,125 min,"Comedies, Dramas, International Movies","Two days before their final exams, three teen girls make a seaside getaway to have the time of their lives.",
s656-netflix,Movie,#Selfie 69,Cristina Jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Călin, Vlad Logigan, Sali Levent, Silvia Busuioc, Mihaela Mihut",Romania,21-Jun-21,2016,TV-MA,119 min,"Comedies, Dramas, International Movies","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",
s3569-amazon,Movie,#Unfit: The Psychology of Donald Trump,Dan Partland,"George Conway, Anthony Scaramucci, Bill Kristol, Malcolm Nance, Ruth Ben-Ghiat",,,2020,13+,84 min,"Documentary, Drama","Is Donald Trump fit to hold the office of President of the United States? An eye-opening analysis of Trump by leading US mental health professionals and Republican strategists, on the record for the record. Science. Truth. Duty to Warn.",
s8853-amazon,TV Show,#WASHED,,"Byron Hardy, Nadirah Shakir, Ashlee Lee, Dennis Raveneau",,,2020,18+,1 Season,"Comedy, Drama","2021 Daytime Emmy nominee. Desperate, pressed and #WASHED up, a group of aging millennials attain everything they NEVER wanted in pursuit of their dreams. Created by 2x regional Emmy Winner Jerod Couch.",
s5975-netflix,TV Show,แผนร้ายนายเจ้าเล่ห์,,"Chutavuth Pattarakampol, Sheranut Yusananda, Nichaphat Chatchaipholrat, Thassapak Hsu",,30-Mar-19,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.",
s3653-netflix,Movie,"¡Ay, mi madre!",Frank Ariza,"Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán",Spain,19-Jul-19,2019,TV-MA,81 min,"Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",
s1209-netflix,Movie,Çarsi Pazar,Muharrem Gülmez,"Erdem Yener, Ayhan Taş, Emin Olcay, Muharrem Gülmez, Elif Nur Kerkük, Tarık Papuççuoğlu, Suzan Aksoy, Doğa Konakoğlu, Esin Eden, Deniz Özerman",Turkey,12-Mar-21,2015,TV-MA,97 min,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,
s5976-netflix,Movie,Ég man þig,Óskar Thór Axelsson,"Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson",Iceland,27-Mar-18,2017,TV-MA,106 min,"Horror Movies, International Movies","Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.",
s5977-netflix,Movie,Çok Filim Hareketler Bunlar,Ozan Açıktan,"Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci",Turkey,10-Mar-17,2010,TV-MA,99 min,"Comedies, International Movies","Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.",
s1897-netflix,Movie,Òlòtūré,Kenneth Gyang,"Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua",Nigeria,2-Oct-20,2020,TV-MA,107 min,"Dramas, International Movies","In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.",
s5978-netflix,Movie,Æon Flux,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen",United States,1-Feb-18,2005,PG-13,93 min,"Action & Adventure, Sci-Fi & Fantasy","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.",
s5979-netflix,TV Show,Şubat,,"Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas",Turkey,17-Jan-17,2013,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.",
s5980-netflix,Movie,1 Chance 2 Dance,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride",United States,1-Jul-17,2014,TV-PG,89 min,"Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.",
s5981-netflix,Movie,1 Mile to You,Leif Tilden,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",United States,7-Jul-17,2017,TV-14,105 min,"Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.",
s7474-amazon,Movie,1 Night in San Diego,Penelope Lawson,"Laura Ashley Samuels, Jenna Ushkowitz, Alexandra Daddario",,,2020,18+,86 min,Comedy,"BFFs Hannah and Brooklyn, played by Jenna Ushkowitz (Glee) and Laura Ashley Samuels (Modern Family), embark on road trip to San Diego to meet an old high school crush. When things don't go as planned, the night turns into debaucherous chaos.",
s3568-amazon,Movie,1/2 New Year,Tom Morash,"Shanley Caswell, Jeff Dye, Rome Flynn, Marc Gordon, Alexis Iacono, John Lerardi, Afton Jillian, Brooke Lewis, Jermaine Alverez Martin, Drew McAnany, Amy Paffrath, Ashley Platz, Matt Schulte, Rebecca Vinargo, Bo Youngblood",,,2019,18+,75 min,"Comedy, Drama","At their annual 1/2 New Year Party, relationships are tested among a group of friends.",
s6266-amazon,Movie,10 Cent Pistol,Michael C. Martin,"Jena Malone, JT Alexander, Damon Alexander, Joe Mantegna, Thomas Ian Nicholas",,,2015,18+,91 min,"Action, Suspense","A story about two lifelong criminals who maneuver through the shady underbelly of Los Angeles in search of wealth, love and redemption.",
s3567-amazon,TV Show,10 Day Yoga for Weight Loss Challenge with Chelsey,,Chelsey Jones,,,2021,13+,1 Season,"Fitness, Special Interest","If you're looking to lose weight, this yoga challenge from instructor Chelsey will help you achieve your goals. This fun and fast program was designed for intermediate and pros alike- to help you build lean muscle, lower cortisol levels, and burn away body fat!",
